title	runtime	rating	genre	imdb_url	type	runtime_hours	pixels_cost
The Machinist	6060	7.7	Drama, Thriller	http://www.imdb.com/title/tt0361862/	movie	1.6833333333333333	96321.89410875582
X-Men: The Last Stand	6240	6.6	Action, Adventure, Sci-Fi	http://www.imdb.com/title/tt0376994/	movie	1.7333333333333334	113191.72104366988
The Danish Poet	900	7.5	Animation, Short, Romance	http://www.imdb.com/title/tt0933357/	short	0.25	361657.0327423878
National Lampoon's Christmas Vacation	5820	7.5	Comedy	http://www.imdb.com/title/tt0097958/	movie	1.6166666666666667	90077.95775786713
White Christmas	7200	7.5	Comedy, Musical, Romance	http://www.imdb.com/title/tt0047673/	movie	2.0	96981.26298532197
Home Alone	6180	7.7	Comedy, Family	http://www.imdb.com/title/tt0099785/	movie	1.7166666666666666	77202.72710973922
Die Hard	7920	8.2	Action, Thriller	http://www.imdb.com/title/tt0095016/	movie	2.2	65941.13310296476
Rare Exports	5040	6.6	Adventure, Fantasy, Horror	http://www.imdb.com/title/tt1401143/	movie	1.4	113727.97542158363
Tron	7500	6.8	Action, Adventure, Sci-Fi	http://www.imdb.com/title/tt1104001/	movie	2.0833333333333335	105929.14658817745
Liebe ist kälter als der Tod	5280	6.5	Comedy, Crime	http://www.imdb.com/title/tt0064588/	movie	1.4666666666666666	313026.8885780886
Corpse Bride	4620	7.3	Animation, Drama, Family, Fantasy, Musical, Romance	http://www.imdb.com/title/tt0121164/	movie	1.2833333333333334	60591.49345771417
Sedmikrásky	4440	7.3	Comedy	http://www.imdb.com/title/tt0060959/	movie	1.2333333333333334	187547.5761363636
The Thirteenth Floor	6000	7	Mystery, Sci-Fi, Thriller	http://www.imdb.com/title/tt0139809/	movie	1.6666666666666667	61210.276814721736
Red Sonja	5340	5.1	Action, Adventure, Fantasy	http://www.imdb.com/title/tt0089893/	movie	1.4833333333333334	88813.57817234848
Ken Park	5580	5.8	Drama	http://www.imdb.com/title/tt0209077/	movie	1.55	91790.93113253935
Le grand bleu	10080	7.5	Adventure, Drama, Sport	http://www.imdb.com/title/tt0095250/	movie	2.8	148564.08385143502
Fisshu sutôrî	6780	7.5	Action, Comedy, Music, Sci-Fi	http://www.imdb.com/title/tt1244666/	movie	1.8833333333333333	98894.63145578379
Psycho	6540	8.5	Horror, Mystery, Thriller	http://www.imdb.com/title/tt0054215/	movie	1.8166666666666667	184970.05970643938
The Aviator	10200	7.5	Biography, Drama	http://www.imdb.com/title/tt0338751/	movie	2.8333333333333335	120414.06372104457
Les herbes folles	6240	6.2	Drama, Romance	http://www.imdb.com/title/tt1156143/	movie	1.7333333333333334	117944.93385598777
My Son, My Son, What Have Ye Done	5460	6.2	Drama, Thriller	http://www.imdb.com/title/tt1233219/	movie	1.5166666666666666	169910.75145505538
Ocean's Thirteen	7320	6.9	Crime, Thriller	http://www.imdb.com/title/tt0496806/	movie	2.033333333333333	88695.48563975087
Ocean's Twelve	7500	6.5	Crime, Thriller	http://www.imdb.com/title/tt0349903/	movie	2.0833333333333335	107833.9400440705
The Cell	6420	6.4	Crime, Horror, Sci-Fi, Thriller	http://www.imdb.com/title/tt0209958/	movie	1.7833333333333334	186058.2458670236
The Green Mile	11340	8.6	Crime, Drama, Fantasy, Mystery	http://www.imdb.com/title/tt0120689/	movie	3.15	65433.897984957744
Matriculated	960	7	Animation, Short, Sci-Fi	http://www.imdb.com/title/tt0372765/	short	0.26666666666666666	216979.5832969114
Super 8	6720	7	Action, Mystery, Sci-Fi, Thriller	http://www.imdb.com/title/tt1650062/	movie	1.8666666666666667	63655.54187062937
Rubber	4920	5.7	Comedy, Fantasy, Horror	http://www.imdb.com/title/tt1612774/	movie	1.3666666666666667	237009.32533963435
Conte d'automne	6720	7.4	Comedy, Drama, Romance	http://www.imdb.com/title/tt0137439/	movie	1.8666666666666667	140783.99266735866
Conte d'été	6780	7.6	Comedy, Drama, Romance	http://www.imdb.com/title/tt0115940/	movie	1.8833333333333333	185178.56569784382
Conte d'hiver	6840	7.2	Drama	http://www.imdb.com/title/tt0104008/	movie	1.9	139939.62707240676
Conte de printemps	6480	7.1	Comedy, Drama, Romance	http://www.imdb.com/title/tt0097106/	movie	1.8	317733.74656177155
Thor	6900	7	Action, Adventure, Fantasy	http://www.imdb.com/title/tt0800369/	movie	1.9166666666666667	102062.98912896999
Vals Im Bashir	5400	8	Documentary, Animation, Biography, Drama, History, Mystery, War	http://www.imdb.com/title/tt1185616/	movie	1.5	150926.79727473046
Rashômon	5280	8.2	Crime, Drama, Mystery	http://www.imdb.com/title/tt0042876/	movie	1.4666666666666666	134383.08523637822
Tuya de hun shi	5160	7.2	Drama, Romance	http://www.imdb.com/title/tt0949564/	movie	1.4333333333333333	147066.68460627916
A Detective Story	600	7.5	Animation, Short, Drama, Mystery, Sci-Fi	http://www.imdb.com/title/tt0366177/	short	0.16666666666666666	170851.6112671183
Bottle Rocket	5460	6.9	Comedy, Crime, Drama	http://www.imdb.com/title/tt0115734/	movie	1.5166666666666666	138061.27364419436
Coraline	6000	7.7	Animation, Drama, Family, Fantasy, Thriller	http://www.imdb.com/title/tt0327597/	movie	1.6666666666666667	89632.1429705711
Shi	8340	7.8	Drama	http://www.imdb.com/title/tt1287878/	movie	2.316666666666667	201826.68682983684
The Killing	5040	8	Crime, Drama, Film-Noir, Thriller	http://www.imdb.com/title/tt0049406/	movie	1.4	101031.8294170673
Le mari de la coiffeuse	4920	7.2	Comedy, Drama, Romance	http://www.imdb.com/title/tt0100112/	movie	1.3666666666666667	231648.4722829254
Zoo	4500	5.6	Documentary	http://www.imdb.com/title/tt0874423/	movie	1.25	136042.11870083044
Hotel Rwanda	7260	8.1	Biography, Drama, History, War	http://www.imdb.com/title/tt0395169/	movie	2.0166666666666666	117850.119712449
The Iron Giant	5160	8.1	Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi	http://www.imdb.com/title/tt0129167/	movie	1.4333333333333333	167391.57402207167
Beyond	780	7.6	Animation, Short, Sci-Fi	http://www.imdb.com/title/tt0372764/	short	0.21666666666666667	249397.58996485284
Les enfants du paradis	11340	8.3	Drama, Romance	http://www.imdb.com/title/tt0037674/	movie	3.15	85369.3045217803
Star Wars: Episode VI - Return of the Jedi	7860	8.3	Action, Adventure, Fantasy, Sci-Fi	http://www.imdb.com/title/tt0086190/	movie	2.183333333333333	72241.30104166668
The Empire Strikes Back	7440	8.7	Action, Adventure, Fantasy, Sci-Fi	http://www.imdb.com/title/tt0080684/	movie	2.066666666666667	135281.55634742865
Star Wars: Episode III - Revenge of the Sith	8400	7.6	Action, Adventure, Fantasy, Sci-Fi	http://www.imdb.com/title/tt0121766/	movie	2.3333333333333335	98623.24261545746
Star Wars: Episode II - Attack of the Clones	8520	6.6	Action, Adventure, Fantasy, Sci-Fi	http://www.imdb.com/title/tt0121765/	movie	2.3666666666666667	125785.48384050843
Star Wars: Episode I - The Phantom Menace	8160	6.5	Action, Adventure, Fantasy, Sci-Fi	http://www.imdb.com/title/tt0120915/	movie	2.2666666666666666	127236.71125072843
World Record	600	7.1	Animation, Short, Sci-Fi	http://www.imdb.com/title/tt0368576/	short	0.16666666666666666	261117.17780630826
Vivre sa vie: Film en douze tableaux	4800	7.9	Drama	http://www.imdb.com/title/tt0056663/	movie	1.3333333333333333	142914.2786094114
The Princess Bride	5880	8	Adventure, Family, Fantasy, Romance	http://www.imdb.com/title/tt0093779/	movie	1.6333333333333333	122287.88988836684
Rio	5760	6.9	Animation, Adventure, Comedy, Family, Music, Musical	http://www.imdb.com/title/tt1436562/	movie	1.6	156532.10772781904
Attack the Block	5280	6.6	Action, Adventure, Comedy, Sci-Fi, Thriller	http://www.imdb.com/title/tt1478964/	movie	1.4666666666666666	61089.53499053031
The Graduate	6360	8	Comedy, Drama, Romance	http://www.imdb.com/title/tt0061722/	movie	1.7666666666666666	221785.1952542249
Kung Fu Panda 2	5400	7.2	Animation, Action, Adventure, Comedy, Family, Fantasy	http://www.imdb.com/title/tt1302011/	movie	1.5	97141.57312062939
Program	420	7.2	Animation, Short, Action, Sci-Fi	http://www.imdb.com/title/tt0366178/	short	0.11666666666666667	132564.67127312793
Harry Potter and the Deathly Hallows: Part 1	8760	7.7	Adventure, Family, Fantasy, Mystery	http://www.imdb.com/title/tt0926084/	movie	2.433333333333333	152988.06626875728
Remember Your Death	780	None	Short, Crime, Drama	http://www.imdb.com/title/tt2059267/	short	0.21666666666666667	197544.22852928322
American History X	7140	8.5	Crime, Drama	http://www.imdb.com/title/tt0120586/	movie	1.9833333333333334	129427.53825120193
Nói albinói	5580	7.3	Comedy, Drama	http://www.imdb.com/title/tt0351461/	movie	1.55	163151.85845170455
Million Dollar Baby	7920	8.1	Drama, Sport	http://www.imdb.com/title/tt0405159/	movie	2.2	84147.92371066434
The Red Shoes	8100	8.1	Drama, Music, Romance	http://www.imdb.com/title/tt0040725/	movie	2.25	71744.98049879808
Despicable Me	5700	7.6	Animation, Adventure, Comedy, Crime, Family, Sci-Fi	http://www.imdb.com/title/tt1323594/	movie	1.5833333333333333	190516.53878478293
The Maltese Falcon	6000	8	Crime, Film-Noir, Mystery, Romance	http://www.imdb.com/title/tt0033870/	movie	1.6666666666666667	90618.14881628788
Dick Tracy	6300	6.2	Action, Comedy, Crime, Music, Romance, Thriller	http://www.imdb.com/title/tt0099422/	movie	1.75	61732.7986624053
Kid's Story	900	7.4	Animation, Short, Sci-Fi	http://www.imdb.com/title/tt0368574/	short	0.25	221178.15028864364
Harry Potter and the Half-Blood Prince	9180	7.6	Action, Adventure, Family, Fantasy, Mystery	http://www.imdb.com/title/tt0417741/	movie	2.55	43393.84959207459
Harry Potter and the Order of the Phoenix	8280	7.5	Action, Adventure, Family, Fantasy, Mystery	http://www.imdb.com/title/tt0373889/	movie	2.3	57825.972904829556
Harry Potter and the Goblet of Fire	9420	7.7	Adventure, Family, Fantasy, Mystery	http://www.imdb.com/title/tt0330373/	movie	2.6166666666666667	64255.415343640736
Harry Potter and the Prisoner of Azkaban	8520	7.9	Adventure, Family, Fantasy, Mystery	http://www.imdb.com/title/tt0304141/	movie	2.3666666666666667	81493.16343695368
Harry Potter and the Chamber of Secrets	9660	7.4	Adventure, Family, Fantasy, Mystery	http://www.imdb.com/title/tt0295297/	movie	2.683333333333333	69172.44585973921
Le mépris	5820	7.5	Drama, Romance	http://www.imdb.com/title/tt0057345/	movie	1.6166666666666667	179471.38808548223
Harry Potter and the Sorcerer's Stone	9120	7.6	Adventure, Family, Fantasy	http://www.imdb.com/title/tt0241527/	movie	2.533333333333333	92539.53856989366
It's the Great Pumpkin, Charlie Brown	1500	8.2	Animation, Comedy, Family	http://www.imdb.com/title/tt0060550/	tvMovie	0.4166666666666667	383469.33773583185
The Second Renaissance Part II	600	8	Animation, Short, Drama, Sci-Fi	http://www.imdb.com/title/tt0368575/	short	0.16666666666666666	162581.7303676792
Ai no korîda	6540	6.6	Drama, Romance	http://www.imdb.com/title/tt0074102/	movie	1.8166666666666667	90890.29360158072
Hercules	5580	7.3	Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance	http://www.imdb.com/title/tt0119282/	movie	1.55	119437.82267992424
M - Eine Stadt sucht einen Mörder	7020	8.3	Crime, Mystery, Thriller	http://www.imdb.com/title/tt0022100/	movie	1.95	103985.3802684295
Potiche	6180	6.4	Comedy	http://www.imdb.com/title/tt1521848/	movie	1.7166666666666666	120903.7802684295
The Second Renaissance Part I	540	8	Animation, Short, Drama, Sci-Fi	http://www.imdb.com/title/tt0366179/	short	0.15	221732.02324810607
X2	8040	7.4	Action, Adventure, Sci-Fi, Thriller	http://www.imdb.com/title/tt0290334/	movie	2.2333333333333334	84114.54863508887
Garden State	6120	7.4	Comedy, Drama, Romance	http://www.imdb.com/title/tt0333766/	movie	1.7	91100.35469387383
Katakuri-ke no kôfuku	6780	7	Comedy, Fantasy, Horror, Musical	http://www.imdb.com/title/tt0304262/	movie	1.8833333333333333	153057.50770232375
An Affair to Remember	6900	7.4	Drama, Romance	http://www.imdb.com/title/tt0050105/	movie	1.9166666666666667	135771.50093331147
Chocolat	7260	7.3	Drama, Romance	http://www.imdb.com/title/tt0241303/	movie	2.0166666666666666	75253.01360995774
Angst essen Seele auf	5520	8	Drama, Romance	http://www.imdb.com/title/tt0071141/	movie	1.5333333333333334	169702.9808921547
Final Flight of the Osiris	540	7.5	Animation, Short, Action, Sci-Fi	http://www.imdb.com/title/tt0350934/	short	0.15	92942.1036030376
Superstar: The Karen Carpenter Story	2580	7.7	Short, Biography, Drama, Music	http://www.imdb.com/title/tt0094075/	short	0.7166666666666667	86164.83255572552
Fucking Åmål	5340	7.5	Comedy, Drama, Romance	http://www.imdb.com/title/tt0150662/	movie	1.4833333333333334	148315.37246503498
Shoot 'Em Up	5160	6.6	Action, Comedy, Thriller	http://www.imdb.com/title/tt0465602/	movie	1.4333333333333333	97828.42020687644
Blood Diamond	8580	8	Adventure, Drama, Thriller	http://www.imdb.com/title/tt0450259/	movie	2.3833333333333333	157632.02336556674
Juno	5760	7.5	Comedy, Drama	http://www.imdb.com/title/tt0467406/	movie	1.6	132014.29588614512
The Piano	7260	7.5	Drama, Music, Romance	http://www.imdb.com/title/tt0107822/	movie	2.0166666666666666	88162.3158744901
Attenberg	5820	6.2	Comedy, Drama, Romance	http://www.imdb.com/title/tt1691323/	movie	1.6166666666666667	206461.5605933129
Legends of the Fall	7980	7.5	Drama, Romance, War, Western	http://www.imdb.com/title/tt0110322/	movie	2.216666666666667	81443.23829946097
Hotel Chevalier	780	7.2	Short, Drama, Romance	http://www.imdb.com/title/tt1094249/	short	0.21666666666666667	101042.87598976544
Spirit: Stallion of the Cimarron	4980	7.1	Animation, Adventure, Drama, Family, Western	http://www.imdb.com/title/tt0166813/	movie	1.3833333333333333	193981.69739492278
Smokin' Aces	6540	6.6	Action, Comedy, Crime, Drama, Thriller	http://www.imdb.com/title/tt0475394/	movie	1.8166666666666667	95641.61751984994
Yeopgijeogin geunyeo	8220	8	Comedy, Drama, Romance	http://www.imdb.com/title/tt0293715/	movie	2.283333333333333	161193.6851781031
Annie Hall	5580	8	Comedy, Romance	http://www.imdb.com/title/tt0075686/	movie	1.55	110735.97772162734
Chung Hing sam lam	6120	8	Comedy, Crime, Drama, Mystery, Romance	http://www.imdb.com/title/tt0109424/	movie	1.7	165908.5353119537
The Nightmare Before Christmas	4560	7.9	Animation, Family, Fantasy, Musical	http://www.imdb.com/title/tt0107688/	movie	1.2666666666666666	75453.66390406468
La stanza del figlio	5940	7.3	Drama	http://www.imdb.com/title/tt0208990/	movie	1.65	169312.8622313884
Hobo with a Shotgun	5160	6.1	Action, Comedy, Horror, Thriller	http://www.imdb.com/title/tt1640459/	movie	1.4333333333333333	111028.52046911423
Nothing	5400	6.1	Comedy, Fantasy	http://www.imdb.com/title/tt0298482/	movie	1.5	380556.068254662
