#title	runtime	rating	genre	image_path	imdb_url	soup_url	type
Hawaii	11340	6.5	Drama	./images/Hawaii_(1966).jpg	http://www.imdb.com/title/tt0060491/	https://moviebarcode.tumblr.com/page/6	movie
The Finest Hours	7020	6.7	Action, Drama, History, Thriller	./images/The_Finest_Hours_(2016).jpg	http://www.imdb.com/title/tt2025690/	https://moviebarcode.tumblr.com/page/6	movie
A Short Love Story in Stop Motion	180	6	Animation, Short, Romance	./images/A_Short_Love_Story_in_Stop_Motion_(2008).jpg	http://www.imdb.com/title/tt2104840/	https://moviebarcode.tumblr.com/page/6	short
Du rififi chez les hommes	7080	8.1	Crime, Drama, Thriller	./images/Du_rififi_chez_les_hommes__Rififi_(1955).jpg	http://www.imdb.com/title/tt0048021/	https://moviebarcode.tumblr.com/page/6	movie
Kung Fu Panda 3	5700	7.1	Animation, Action, Adventure, Comedy, Family, Fantasy	./images/Kung_Fu_Panda_3_(2016).jpg	http://www.imdb.com/title/tt2267968/	https://moviebarcode.tumblr.com/page/6	movie
Candyman	5940	6.7	Horror, Thriller	./images/Candyman_(1992).jpg	http://www.imdb.com/title/tt0103919/	https://moviebarcode.tumblr.com/page/6	movie
The Outlaw Josey Wales	8100	7.8	Western	./images/The_Outlaw_Josey_Wales_(1976).jpg	http://www.imdb.com/title/tt0075029/	https://moviebarcode.tumblr.com/page/6	movie
Il Casanova di Federico Fellini	9300	7	Biography, Drama, History, Romance	./images/Il_Casanova_di_Federico_Fellini__Fellini’s_Casanova_(1976).jpg	http://www.imdb.com/title/tt0074291/	https://moviebarcode.tumblr.com/page/7	movie
The Man Who Could Cheat Death	4980	6.3	Drama, Horror, Sci-Fi	./images/The_Man_Who_Could_Cheat_Death_(1959).jpg	http://www.imdb.com/title/tt0053041/	https://moviebarcode.tumblr.com/page/7	movie
The Merchant of Venice	8040	7	Drama, Romance	./images/The_Merchant_of_Venice_(2004).jpg	http://www.imdb.com/title/tt0379889/	https://moviebarcode.tumblr.com/page/7	movie
Deadpool	6480	8	Action, Adventure, Comedy, Sci-Fi	./images/Deadpool_(2016).jpg	http://www.imdb.com/title/tt1431045/	https://moviebarcode.tumblr.com/page/7	movie
